type,state,county
state,AK,
state,AR,
state,AZ,
state,CO,
state,GA,
state,KY,
state,MO,
state,ND,
county,AL,CHILTON
county,AL,PERRY
county,AR,MISSISSIPPI
county,AZ,APACHE
county,AZ,COCHISE
county,AZ,PINAL
county,AZ,YAVAPAI
county,CA,AMADOR
county,CA,CALAVERAS
county,CA,DEL NORTE
county,CA,KERN
county,CA,MADERA
county,CA,MONO
county,CA,NAPA
county,CA,RIVERSIDE
county,CA,SACRAMENTO
county,CA,SAN BERNARDINO
county,CA,SAN JOAQUIN
county,CA,SUTTER
county,CA,TUOLUMNE
county,CA,VENTURA
county,CO,BROOMFIELD
county,CO,CHAFFEE
county,CO,CLEAR CREEK
county,CO,DENVER
county,CO,JEFFERSON
county,CO,LINCOLN
county,CO,PARK
county,CO,SUMMIT
county,FL,BROWARD
county,FL,CITRUS
county,FL,COLUMBIA
county,FL,FLAGLER
county,FL,HARDEE
county,FL,JACKSON
county,FL,LAKE
county,FL,LEON
county,FL,MADISON
county,FL,MARION
county,FL,PALM BEACH
county,FL,POLK
county,FL,PUTNAM
county,FL,SEMINOLE
county,FL,TAYLOR
county,FL,WAKULLA
county,GA,CLARKE
county,GA,BALDWIN
county,GA,BIBB
county,GA,CARROLL
county,GA,CATOOSA
county,GA,COLUMBIA
county,GA,FAYETTE
county,GA,FORSYTH
county,GA,GRADY
county,GA,GWINNETT
county,GA,HALL
county,GA,HARRIS
county,GA,MARION
county,GA,MERIWETHER
county,GA,PIKE
county,GA,ROCKDALE
county,GA,TATTNALL
county,GA,THOMAS
county,GA,TIFT
county,GA,TROUP
county,IA,STORY
county,IA,WEBSTER
county,ID,BANNOCK
county,ID,CUSTER
county,ID,NEZ PERCE
county,IL,ADAMS
county,IL,BOONE
county,IL,CRAWFORD
county,IL,KANKAKEE
county,IL,KENDALL
county,IL,KNOX
county,IL,LAWRENCE
county,IL,MARSHALL
county,IL,SALINE
county,IL,VERMILION
county,IN,ELKHART
county,IN,FLOYD
county,IN,HARRISON
county,IN,KOSCIUSKO
county,IN,LAPORTE
county,IN,MADISON
county,IN,MONTGOMERY
county,IN,SHELBY
county,KS,BUTLER
county,KS,MCPHERSON
county,KS,SEDGWICK
county,KS,WYANDOTTE
county,KY,CLINTON
county,KY,LETCHER
county,KY,MEADE
county,KY,SCOTT
county,KY,LEE
county,KY,WARREN
county,MD,DORCHESTER
county,MD,QUEEN ANNE'S
county,MD,WORCESTER
county,ME,ANDROSCOGGIN
county,ME,AROOSTOOK
county,ME,CUMBERLAND
county,ME,HANCOCK
county,ME,KENNEBEC
county,ME,KNOX
county,ME,OXFORD
county,ME,PENOBSCOT
county,ME,PISCATAQUIS
county,ME,SOMERSET
county,ME,WALDO
county,ME,WASHINGTON
county,ME,YORK
county,MI,ALGER
county,MI,BAY
county,MI,BRANCH
county,MI,CHIPPEWA
county,MI,DELTA
county,MI,DICKINSON
county,MI,GOGEBIC
county,MI,GRATIOT
county,MI,IRON
county,MI,MARQUETTE
county,MI,MIDLAND
county,MI,MUSKEGON
county,MI,OCEANA
county,MI,OTSEGO
county,MI,ST CLAIR
county,MI,ST JOSEPH
county,MI,WASHTENAW
county,MN,CARVER
county,MN,DAKOTA
county,MN,GOODHUE
county,MN,WASHINGTON
county,MO,BUCHANAN
county,MO,CAPE GIRARDEAU
county,MO,ST. LOUIS
county,MS,MADISON
county,MT,CASCADE
county,MT,HILL
county,MT,LINCOLN
county,NC,PASQUOTANK
county,NC,AVERY
county,NC,BRUNSWICK
county,NC,CLEVELAND
county,NC,CRAVEN
county,NC,DARE
county,NC,HOKE
county,NC,JOHNSTON
county,NC,NEW HANOVER
county,NC,ONSLOW
county,NC,PAMLICO
county,NC,PENDER
county,NC,RUTHERFORD